Metingtijd;Temperatuur verticale buis;Temperatuur horizontale buis;Temperatuur met dop, verticaal
0;45.6;56.9;58.6
20;45.4;56.1;57.9
40;44.9;55.1;56.7
60;44.2;53.6;55.5
80;43.4;52.6;54.5
100;42.7;51.4;53.4
120;41.8;50.5;52.3
140;41.1;49.4;51.2
160;40.4;48.4;50.4
180;39.9;47.5;49.4
200;39.5;46.5;48.4
220;38.5;45.8;47.6
240;38.0;44.9;46.8
260;37.4;44.0;45.9
280;36.9;43.0;45.3
300;36.4;42.3;44.5
320;36.0;41.6;43.8
340;35.5;41.0;43.1
360;35.0;40.2;42.4
380;34.5;39.7;41.8
400;34.2;39.0;41.2
420;33.7;38.6;40.6
440;33.3;38.1;40.1
460;33.0;37.6;39.4
480;32.8;37.1;39.0
500;32.4;36.6;38.5
